	Code	PEG
47	TWOU	-8.13
110	UDR	-3.62
190	URG	-2.23
41	TWO	-1.93
165	UNFI	-0.94
51	TXMD	-0.57
186	UQM	-0.55
114	UEPS	-0.35
16	TUES	-0.16
10	TTPH	-0.01
130	UGLD	0.0
138	UIVM	0.0
115	UEUR	0.0
116	UEVM	0.0
121	UFPT	0.0
123	UG	0.0
124	UGA	0.0
125	UGAZ	0.0
126	UGBP	0.0
137	UITB	0.0
127	UGE	0.0
134	UHT	0.0
129	UGL	0.0
99	UCC	0.0
109	UDOW	0.0
108	UDN	0.0
87	UBOH	0.0
88	UBOT	0.0
89	UBP	0.0
90	UBP$G	0.0
91	UBP$H	0.0
92	UBR	0.0
96	UBT	0.0
97	UBX	0.0
100	UCFC	0.0
101	UCHF	0.0
102	UCI	0.0
103	UCIB	0.0
104	UCO	0.0
105	UCOM	0.0
106	UCON	0.0
112	UEC	0.0
139	UJAN	0.0
142	UJUL	0.0
141	UJPY	0.0
176	UOCT	0.0
177	UONE	0.0
178	UONEK	0.0
181	UPRO	0.0
183	UPV	0.0
184	UPW	0.0
185	UPWK	0.0
187	URA	0.0
189	URE	0.0
191	URGN	0.0
193	UROV	0.0
194	URR	0.0
195	URTH	0.0
196	URTY	0.0
197	USA	0.0
174	UNTY	0.0
171	UNMA	0.0
169	UNL	0.0
166	UNG	0.0
84	UBIO	0.0
143	UL	0.0
144	ULBI	0.0
145	ULBR	0.0
146	ULE	0.0
148	ULST	0.0
151	ULVM	0.0
140	UJB	0.0
153	UMC	0.0
156	UMH$B	0.0
157	UMH$C	0.0
158	UMH$D	0.0
160	UMRX	0.0
161	UN	0.0
162	UNAM	0.0
163	UNB	0.0
154	UMDD	0.0
83	UBG	0.0
199	USAI	0.0
81	UBCP	0.0
55	TY	0.0
48	TWST	0.0
46	TWO$E	0.0
45	TWO$D	0.0
44	TWO$C	0.0
43	TWO$B	0.0
82	UBFO	0.0
40	TWNKW	0.0
38	TWN	0.0
37	TWMC	0.0
36	TWM	0.0
35	TWLVW	0.0
34	TWLVU	0.0
33	TWLVR	0.0
56	TY$	0.0
32	TWLV	0.0
25	TVE	0.0
24	TVC	0.0
22	TUZ	0.0
21	TUSK	0.0
20	TUSA	0.0
19	TURN	0.0
18	TUR	0.0
15	TU	0.0
13	TTTN	0.0
12	TTT	0.0
9	TTP	0.0
8	TTOO	0.0
7	TTNP	0.0
5	TTM	0.0
26	TVIX	0.0
57	TYBS	0.0
42	TWO$A	0.0
62	TYME	0.0
79	UAVS	0.0
78	UAUD	0.0
76	UAMY	0.0
59	TYG	0.0
60	TYHT	0.0
74	UAG	0.0
63	TYNS	0.0
73	UAE	0.0
58	TYD	0.0
69	TZACW	0.0
68	TZACU	0.0
67	TZAC	0.0
66	TZA	0.0
64	TYO	0.0
179	UPL	0.1
29	TWI	0.35
173	UNT	0.39
117	UFAB	0.42
192	URI	0.43
135	UIHC	0.5
75	UAL	0.51
17	TUP	0.55
107	UCTT	0.58
136	UIS	0.74
113	UEIC	0.77
28	TVTY	0.78
54	TXT	0.82
49	TWTR	0.82
6	TTMI	0.82
170	UNM	0.83
14	TTWO	0.85
50	TX	0.95
180	UPLD	0.99
188	URBN	1.05
172	UNP	1.05
159	UMPQ	1.09
65	TYPE	1.1
167	UNH	1.16
11	TTS	1.17
133	UHS	1.19
85	UBNK	1.31
30	TWIN	1.32
2	TTEK	1.33
39	TWNK	1.34
132	UHAL	1.35
152	UMBF	1.42
3	TTGT	1.43
149	ULTA	1.44
86	UBNT	1.51
94	UBSH	1.57
71	UA	1.58
182	UPS	1.67
122	UFS	1.78
72	UAA	1.79
70	TZOO	1.83
95	UBSI	1.86
164	UNF	2.0
53	TXRH	2.13
1	TTEC	2.13
120	UFPI	2.18
93	UBS	2.3
128	UGI	2.55
23	TV	2.58
168	UNIT	2.65
150	ULTI	2.65
52	TXN	2.66
147	ULH	2.78
27	TVPT	3.08
80	UBA	3.28
0	TTD	3.4
119	UFI	3.73
61	TYL	3.87
175	UNVR	3.9
118	UFCS	3.95
77	UAN	8.38
111	UE	8.63
4	TTI	8.69
155	UMH	9.17
98	UCBI	11.55
31	TWLO	35.44
131	UGP	38.11
198	USAC	803.5
