Symbol,Company Name
BRACW,Black Ridge Acquisition Corp. 
BRC,Brady Corporation Common Stock
BREW,"Craft Brew Alliance, Inc. "
BRF,VanEck Vectors Brazil Small
BRFS,BRF S.A.
BRG,"Bluerock Residential Growth REIT, Inc. Class A Common Stock"
BRG$A,"Bluerock Residential Growth REIT, Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share)"
BRG$C,"Bluerock Residential Growth REIT, Inc. 7.625% Series C Cumulative Redeemable Preferred Stock"
BRG$D,"Bluerock Residential Growth REIT, Inc. 7.125% Series D, Cumulative Preferred Stock ($0.01 par value per share)"
BRGL,Bernstein Global Research Fund
BRID,Bridgford Foods Corporation 
BRK.A,Berkshire Hathaway Inc. Common Stock
BRK.B,Berkshire Hathaway Inc. New Common Stock
BRKL,"Brookline Bancorp, Inc. "
BRKR,Bruker Corporation 
BRKS,"Brooks Automation, Inc. "
BRN,"Barnwell Industries, Inc. Common Stock"
BRO,"Brown & Brown, Inc. Common Stock"
BRPA,Big Rock Partners Acquisition Corp. 
BRPAR,Big Rock Partners Acquisition Corp. 
BRPAU,Big Rock Partners Acquisition Corp. 
BRPAW,Big Rock Partners Acquisition Corp. 
BRQS,"Borqs Technologies, Inc.  "
BRS,Bristow Group Inc. Common Stock
BRSS,"Global Brass and Copper Holdings, Inc. Common Stock"
BRT,BRT Apartments Corp. (MD) Common Stock
BRX,Brixmor Property Group Inc. Common Stock
BRY,Berry Petroleum Corporation 
BRZU,Direxion Daily Brazil Bull 3X Shares
BSA,BrightSphere Investment Group plc 5.125% Notes due 2031
BSAC,Banco Santander 
BSAE,Invesco BulletShares 2021 USD Emerging Markets Debt ETF
BSBE,Invesco BulletShares 2022 USD Emerging Markets Debt ETF
BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit"
BSCE,Invesco BulletShares 2023 USD Emerging Markets Debt ETF
BSCJ,Invesco BulletShares 2019 Corporate Bond ETF
BSCK,Invesco BulletShares 2020 Corporate Bond ETF
BSCL,Invesco BulletShares 2021 Corporate Bond ETF
BSCM,Invesco BulletShares 2022 Corporate Bond ETF
BSCN,Invesco BulletShares 2023 Corporate Bond ETF
BSCO,Invesco BulletShares 2024 Corporate Bond ETF
BSCP,Invesco BulletShares 2025 Corporate Bond ETF
BSCQ,Invesco BulletShares 2026 Corporate Bond ETF
BSCR,Invesco BulletShares 2027 Corporate Bond ETF
BSCS,Invesco BulletShares 2028 Corporate Bond ETF
BSD,BlackRock Strategic Municipal Trust Inc. (The) Common Stock
BSDE,Invesco BulletShares 2024 USD Emerging Markets Debt ETF
BSE,Blackrock New York Municipal Income Quality Trust Common Shares of Beneficial Interest
BSET,"Bassett Furniture Industries, Incorporated "
BSGM,"BioSig Technologies, Inc. "
BSIG,BrightSphere Investment Group plc Ordinary Shares
BSJJ,Invesco BulletShares 2019 High Yield Corporate Bond ETF
BSJK,Invesco BulletShares 2020 High Yield Corporate Bond ETF
BSJL,Invesco BulletShares 2021 High Yield Corporate Bond ETF
BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF
BSJN,Invesco BulletShares 2023 High Yield Corporate Bond ETF
BSJO,Invesco BulletShares 2024 High Yield Corporate Bond ETF
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF
BSJQ,Invesco BulletShares 2026 High Yield Corporate Bond ETF
BSL,Blackstone GSO Senior Floating Rate Term Fund Common Shares of Beneficial Interest
BSM,"Black Stone Minerals, L.P. Common units representing limited partner interests"
BSMX,"Banco Santander Mexico, S.A., Institucion de Banca Multiple, Grupo Financiero Santander Mexico"
BSQR,BSQUARE Corporation 
BSRR,Sierra Bancorp 
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest
BSTC,BioSpecifics Technologies Corp 
BSV,Vanguard Short
BSVN,Bank7 Corp. 
BSX,Boston Scientific Corporation Common Stock
BT,BT Group plc American Depositary Shares
BTA,BlackRock Long
BTAI,"BioXcel Therapeutics, Inc. "
BTAL,AGFiQ U.S. Market Neutral Anti
BTE,Baytex Energy Corp
BTEC,Principal Healthcare Innovators Index ETF
BTG,B2Gold Corp Common shares (Canada)
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR"
BTN,"Ballantyne Strong, Inc. Common Stock"
BTO,John Hancock Financial Opportunities Fund Common Stock
BTT,BlackRock Municipal 2030 Target Term Trust
BTU,Peabody Energy Corporation Common Stock 
BTX,"BioTime, Inc. Common Stock"
BTZ,BlackRock Credit Allocation Income Trust
BUD,Anheuser
BUI,"BlackRock Utility, Infrastructure & Power Opportunities Trust"
BURG,"Chanticleer Holdings, Inc. "
BURL,"Burlington Stores, Inc. Common Stock"
BUSE,First Busey Corporation 
BUY,USCF SummerHaven SHPEI Index Fund
BUYN,USCF SummerHaven SHPEN Index Fund
BV,"BrightView Holdings, Inc. Common Stock"
BVAL,Brand Value ETF
BVN,Buenaventura Mining Company Inc.
BVNSC,Brandes Investment Trust 
BVSN,"BroadVision, Inc. "
BVXV,BiondVax Pharmaceuticals Ltd. 
BVXVW,BiondVax Pharmaceuticals Ltd. 
BW,"Babcock & Wilcox Enterprises, Inc. Common Stock"
BWA,BorgWarner Inc. Common Stock
BWB,"Bridgewater Bancshares, Inc. "
BWEN,"Broadwind Energy, Inc. "
